site,dataset,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009
Burke,justin,0,1.172248804,0,0,4.157814237,5.291785521
Burnet Tributary,justin,0,0.53030303,0,0,4.033667226,4.538717733
Burnett,justin,0,0.550761421,0,0,3.787874614,4.325945683
Cannel,justin,0,0.387351779,0,0,7.717825026,7.915453496
Charming,justin,0,0.179487179,0,0,4.912863021,5.095555329
Chasm,justin,0,0.150943396,0,0,4.285327145,4.436270541
Coal,justin,0,1.172248804,0,0,4.16431383,5.288715735
Coalbrookedale,justin,0,0.525,0,0,4.085123759,4.585123761
Coorang,justin,0,0.742924528,0,0,3.8877567,4.621247268
Granity,justin,0,0.345679012,0,0,5.583942508,6.127152383
Hot,justin,0,0.328125,0,0,5.244807671,5.760432669
Italian,justin,0,1.186157518,0,0,4.122128859,5.270100211
Kiwi,justin,0,1.015267176,0,0,5.749811463,6.856681695
Lankey,justin,0,0.597156398,0,0,5.317191743,5.881172783
Miller,justin,0,0.347107438,0,0,5.599171103,6.144625646
Mine,justin,0,0.186311787,0,0,5.116904671,5.485725962
Murray,justin,0,0.883333333,0,0,5.770813071,6.620813069
One Horse Creek,justin,0,0.831353919,0,0,4.021329992,4.831306242
Packtrack,justin,0,0.333333333,0,0,5.368365747,5.892175269
Portal,justin,0,0.319391635,0,0,5.079336348,5.581237487
Sullivan East,justin,0,0.723463687,0,0,4.259627073,4.969124283
Sullivan West,justin,0,0.784482759,0,0,4.463610886,5.222231579
Warne,justin,0,0.19047619,0,0,5.17146176,5.375543392
Afon Berwyn,perkins,4.988188976,0,0.413385827,1.293307087,16.86965936,12.72989558
Afon Bidno,perkins,4.94921875,0,0.54296875,1.859375,16.46761478,12.59847415
Afon Gain,perkins,1.182524272,0,1.040776699,1.246601942,12.98853683,11.75552713
Afon Gwy 2005,perkins,4.611764706,0,0.692156863,1.978431373,14.94193946,11.61252769
Afon Hafren 2012,perkins,4.403883495,0,0.79223301,2.095145631,15.19538338,12.06140279
Allt a’ Mharcaidh,perkins,2.39826087,0,0,0,10.19963718,7.380506752
Allt na Coire nan Con,perkins,0.520871143,0,0.068965517,0.076225045,5.310219441,4.796607834
Beagh's Burn,perkins,3.320158103,0.027667984,0.466403162,0.95256917,10.80208616,7.83568297
Broadstone Stream,perkins,4.884381339,0.184584178,0,0.273833671,29.23271445,24.39904305
River Bure,perkins,6.877669903,5.355339806,0,0,25.23291142,23.32611529
Afon Ceirw,perkins,0.762645914,0,1.025291829,1.13229572,12.3901242,11.62747829
Coneyglen Burn,perkins,5.06133829,0.039033457,0.644981413,2.394052045,12.00183216,8.749044027
Duddon Pike Beck,perkins,3.303370787,0.301498127,0.528089888,0.923220974,14.54160772,11.90864892
Hardknott Gill,perkins,3.348968105,0.288930582,0.527204503,0.932457786,14.77033184,12.11367143
Dargall Lane,perkins,2.324770642,0,1.44587156,2.188990826,9.231046724,7.62921187
Afon Dulais,perkins,5.187747036,0,0.561264822,2.579051383,19.63290812,16.36413341
River Fiddich,perkins,5.867826087,0,0.339130435,1.756521739,16.99793779,11.89880733
River Loddon,perkins,1.781818182,1.781818182,0,0,32.57373737,32.02222222
River Lyde,perkins,1.764112903,1.70766129,0,0,32.57056452,32.18145161
Afon Marteg,perkins,4.78515625,0,0.673828125,2.27734375,17.06932483,13.79588734
Mill Stream,perkins,3.902934537,1.106094808,0,0.124153499,27.45284856,21.68761158
Nant Clywedog Uchaf,perkins,4.593320236,0,0.646365422,1.807465619,17.51259951,14.18057593
Nant Gelli Gethin,perkins,3.411306043,0,1.393762183,2.729044834,17.35927084,15.14484589
Nant Pen y Cwm,perkins,3.527131783,0,1.333333333,2.67248062,17.48705159,15.12658648
Narrator Brook,perkins,4.1,0.014285714,0.204081633,0.967346939,21.45896559,15.07325126
Old Lodge,perkins,5.034343434,0.282828283,0,0.327272727,29.6459156,24.21561257
Tadnoll Brook,perkins,2.66588785,2.273364486,0,0.088785047,26.31097003,23.44648399
River Test,perkins,5.755555556,4.44040404,0,0.022222222,28.24848485,25.46262626
Upper Duhonw,perkins,6.63960396,0,0.079207921,2.594059406,20.71964089,16.01865079
Upper Llugwy,perkins,1.685934489,0.256262042,0.759152216,0.963391137,15.35096095,13.8403637
River Wensum,perkins,6.455252918,5.760700389,0,0,25.08172688,23.91441172
ARIK_2017-03-22,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2017-10-10,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2018-10-02,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2019-03-27,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2019-10-01,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
BIGC_2019-04-15,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2021-04-13,neon,0,0,0,0,1.637104998,1.744797308
CARI_2016-07-11,neon,0,0,0,0,2.041183073,2.92306228
CARI_2016-07-11,neon,0,0,0,0,2.041183073,2.92306228
CARI_2016-08-23,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-05-15,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-05-15,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-07-10,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-07-10,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-08-22,neon,0,0,0,0,2.041183073,2.92306228
CARI_2017-08-22,neon,0,0,0,0,2.041183073,2.92306228
CARI_2018-05-23,neon,0,0,0,0,2.041183073,2.92306228
CARI_2018-07-16,neon,0,0,0,0,2.041183073,2.92306228
CARI_2018-07-16,neon,0,0,0,0,2.041183073,2.92306228
CARI_2018-08-20,neon,0,0,0,0,2.041183073,2.92306228
CARI_2018-08-20,neon,0,0,0,0,2.041183073,2.92306228
CARI_2019-07-03,neon,0,0,0,0,2.041183073,2.92306228
CARI_2019-07-03,neon,0,0,0,0,2.041183073,2.92306228
CARI_2019-08-28,neon,0,0,0,0,2.041183073,2.92306228
CARI_2020-07-15,neon,0,0,0,0,2.041183073,2.92306228
CARI_2021-05-18,neon,0,0,0,0,2.041183073,2.92306228
CARI_2021-05-18,neon,0,0,0,0,2.041183073,2.92306228
CARI_2021-07-01,neon,0,0,0,0,2.041183073,2.92306228
COMO_2021-08-04,neon,0,0.103448276,0,0,6.153656117,6.254641321
COMO_2021-08-30,neon,0,0.103448276,0,0,6.153656117,6.254641321
CUPE_2020-07-06,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
GUIL_2021-11-23,neon,6.567901235,0,0,0,22.56625866,15.21440683
HOPB_2016-10-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2016-10-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-04-12,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-04-12,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-07-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-10-03,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2018-07-09,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2019-04-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2019-04-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2019-10-03,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-07-14,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-10-05,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-04-12,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-07-28,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-10-11,neon,0,0,0,0,6.519451721,6.799736751
KING_2016-06-22,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-10-01,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-06-03,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
LECO_2017-03-22,neon,0,0,0,0,13.81752252,12.56686977
LECO_2017-10-27,neon,0,0,0,0,13.81752252,12.56686977
LECO_2018-04-04,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-07-16,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-07-16,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-10-14,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-07-14,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-03-30,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-08-02,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-08-02,neon,0,0,0,0,13.81752252,12.56686977
LECO_2016-03-23,neon,0,0,0,0,13.81752252,12.56686977
LECO_2016-07-12,neon,0,0,0,0,13.81752252,12.56686977
LEWI_2017-07-10,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-07-09,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
MART_2019-09-30,neon,0,0,0,0,3.083571682,3.28624429
MAYF_2017-03-14,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2020-07-13,neon,0,0,0,0,4.575143034,5.041450287
MCRA_2019-05-29,neon,0,0,0,0,1.741696395,2.182605489
OKSR_2016-08-10,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2016-08-10,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2017-06-07,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2017-07-19,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2018-06-16,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2019-07-11,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2019-07-11,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2020-07-23,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2020-08-12,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2020-08-12,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2021-08-20,neon,0,0,0,0,2.24781749,2.24781749
REDB_2016-10-17,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
WALK_2016-10-31,neon,0,0,0,0,27.49232332,26.04787888
WALK_2018-07-17,neon,0,0,0,0,27.49232332,26.04787888
WALK_2018-10-30,neon,0,0,0,0,27.49232332,26.04787888
WALK_2019-03-12,neon,0,0,0,0,27.49232332,26.04787888
WALK_2019-10-28,neon,0,0,0,0,27.49232332,26.04787888
WALK_2020-03-10,neon,0,0,0,0,27.49232332,26.04787888
WALK_2021-03-09,neon,0,0,0,0,27.49232332,26.04787888
WALK_2021-07-27,neon,0,0,0,0,27.49232332,26.04787888
WALK_2021-10-26,neon,0,0,0,0,27.49232332,26.04787888
WALK_2016-07-05,neon,0,0,0,0,27.49232332,26.04787888
WLOU_2017-07-10,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2017-09-14,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2018-05-17,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2018-07-25,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2018-09-11,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2019-09-12,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2020-09-21,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
ARIK_2016-03-31,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2018-07-12,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
BIGC_2021-11-16,neon,0,0,0,0,1.637104998,1.744797308
CARI_2019-05-13,neon,0,0,0,0,2.041183073,2.92306228
CARI_2019-08-28,neon,0,0,0,0,2.041183073,2.92306228
CARI_2020-07-15,neon,0,0,0,0,2.041183073,2.92306228
CARI_2021-07-01,neon,0,0,0,0,2.041183073,2.92306228
CARI_2021-08-26,neon,0,0,0,0,2.041183073,2.92306228
HOPB_2018-04-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2019-07-09,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-06-22,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-10-05,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-04-12,neon,0,0,0,0,6.519451721,6.799736751
LECO_2017-07-25,neon,0,0,0,0,13.81752252,12.56686977
LECO_2018-07-23,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-06-09,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-03-30,neon,0,0,0,0,13.81752252,12.56686977
LEWI_2019-10-21,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2020-07-20,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
MART_2020-07-13,neon,0,0,0,0,3.083571682,3.28624429
MART_2021-04-19,neon,0,0,0,0,3.083571682,3.28624429
MART_2021-09-27,neon,0,0,0,0,3.083571682,3.28624429
MAYF_2016-11-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2017-03-14,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2017-10-30,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2019-07-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2019-11-14,neon,0,0,0,0,4.575143034,5.041450287
OKSR_2019-05-29,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2019-08-12,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2019-08-12,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2021-06-18,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2021-08-20,neon,0,0,0,0,2.24781749,2.24781749
REDB_2017-03-29,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
REDB_2018-03-29,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
REDB_2018-09-27,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
REDB_2020-10-06,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
REDB_2021-04-21,neon,0.016990291,0.101941748,0,0,24.45433696,23.60724959
TECR_2019-09-23,neon,0,0,0,0,0.18143219,0.278370966
TECR_2021-07-27,neon,0,0,0,0,0.18143219,0.278370966
TECR_2021-09-15,neon,0,0,0,0,0.18143219,0.278370966
WALK_2020-07-07,neon,0,0,0,0,27.49232332,26.04787888
WLOU_2020-07-20,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2021-05-10,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
WLOU_2021-09-20,neon,0,0.017326733,0.024752475,0.022277228,2.859814431,4.349913447
ARIK_2016-07-13,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2016-07-13,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2016-09-19,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2017-07-12,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2017-07-12,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2018-07-12,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2018-10-02,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2019-07-10,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2019-10-01,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2020-10-01,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2021-07-13,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
ARIK_2021-07-13,neon,0,0.397530864,1.612345679,1.548148148,2.883724281,3.293600818
BIGC_2018-05-07,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2018-07-18,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2018-09-24,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2019-07-17,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2019-10-01,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2021-07-12,neon,0,0,0,0,1.637104998,1.744797308
BIGC_2021-11-16,neon,0,0,0,0,1.637104998,1.744797308
BLDE_2018-05-02,neon,1.272727273,0,0,0,3.034968345,1.750877442
BLDE_2018-05-02,neon,1.272727273,0,0,0,3.034968345,1.750877442
BLDE_2021-07-26,neon,1.272727273,0,0,0,3.034968345,1.750877442
BLUE_2017-03-13,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2017-07-12,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2017-07-12,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2017-10-17,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2017-10-17,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2018-03-12,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2018-07-10,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2018-11-06,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-03-11,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-07-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-10-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2019-10-09,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-04-01,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-07-01,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
BLUE_2021-10-14,neon,0,0.558510638,1.305851064,1.196808511,5.858935622,6.390850516
CARI_2019-05-13,neon,0,0,0,0,2.041183073,2.92306228
COMO_2017-08-30,neon,0,0.103448276,0,0,6.153656117,6.254641321
CUPE_2016-06-22,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-01-25,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-06-28,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2017-11-14,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2018-01-23,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2019-01-22,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2019-06-18,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
CUPE_2021-01-25,neon,0.426829268,0.085365854,0,0,24.89803999,24.44682052
GUIL_2016-02-02,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2017-01-31,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2017-06-21,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-01-30,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-07-03,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2018-11-13,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2019-01-28,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2020-02-26,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2020-11-18,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2021-02-03,neon,6.567901235,0,0,0,22.56625866,15.21440683
GUIL_2021-06-29,neon,6.567901235,0,0,0,22.56625866,15.21440683
HOPB_2017-07-11,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2017-10-03,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2018-07-09,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-06-22,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2020-07-14,neon,0,0,0,0,6.519451721,6.799736751
HOPB_2021-07-28,neon,0,0,0,0,6.519451721,6.799736751
KING_2016-10-05,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2017-07-14,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2017-07-14,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-07-12,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-07-12,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2019-10-01,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-06-03,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-07-20,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-07-20,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
KING_2020-09-29,neon,1.807017544,0.298245614,0.411027569,0.656641604,15.34577498,15.40592541
LECO_2018-07-23,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-03-26,neon,0,0,0,0,13.81752252,12.56686977
LECO_2019-03-26,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-06-09,neon,0,0,0,0,13.81752252,12.56686977
LECO_2020-07-14,neon,0,0,0,0,13.81752252,12.56686977
LECO_2021-10-18,neon,0,0,0,0,13.81752252,12.56686977
LECO_2016-07-12,neon,0,0,0,0,13.81752252,12.56686977
LEWI_2017-03-24,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2017-03-24,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2017-11-06,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-03-23,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-03-23,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-07-09,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-03-19,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-07-22,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-07-22,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-03-25,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-03-25,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-07-27,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-11-01,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-11-01,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
MART_2021-07-28,neon,0,0,0,0,3.083571682,3.28624429
MAYF_2016-03-21,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2016-06-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2016-10-24,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2017-07-18,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-03-26,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-07-26,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-10-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-10-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2019-03-11,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-03-15,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-07-21,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-10-18,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-10-18,neon,0,0,0,0,4.575143034,5.041450287
MCDI_2017-03-28,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2017-07-07,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2017-10-06,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-07-11,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-10-03,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-10-03,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2019-04-05,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2019-07-10,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2020-06-05,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
