site,sum_biomass,sd_biomass,n,group_id,mle_estimate,conf_lo,conf_hi,dat_id,geographical_latitude,file_name,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009,temp
Afon Berwyn,3529.2899685450507,9.718590111065806,1248,432,-1.2962156583480613,-1.3032156583480585,-1.2892156583480627,df_Perkins.xlsx,52.22,df_Perkins.xlsx,7,0,0,1,20,14,9.25
Afon Ceirw,1136.1770617933332,12.115627399408755,261,433,-1.333744833349118,-1.3487448333491159,-1.3197448333491124,df_Perkins.xlsx,52.84,df_Perkins.xlsx,0,0,1,1,13.2,13.2,8.45
Afon Dulais,1831.4010673865516,24.043703048623712,292,434,-1.2211061192587906,-1.23410611925879,-1.2081061192587939,df_Perkins.xlsx,52.04,df_Perkins.xlsx,7,0,0,3,19.66666667,15.66666667,8.95
Afon Gain,1733.4364884631968,5.80801845835824,650,435,-1.3065075355758138,-1.3145075355758067,-1.2985075355758084,df_Perkins.xlsx,52.88,df_Perkins.xlsx,0,0,1.2,1.2,14.2,14.2,8.25
Afon Gwy 2005,1822.3064771040001,17.71633895524181,171,436,-1.3308575347771454,-1.344857534777141,-1.3168575347771423,df_Perkins.xlsx,52.45,df_Perkins.xlsx,2.333333333,0,1.333333333,2,10.29621474,8.629548073,8.05
Afon Hafren 2012,3429.226933593924,12.000723183380444,726,437,-1.2435642508096243,-1.2505642508096244,-1.2365642508096286,df_Perkins.xlsx,52.48,df_Perkins.xlsx,7,0,0,2,14.14896545,9.148965454,8.05
Afon Marteg,1741.1408339533334,7.380167186141921,876,438,-1.387790798577403,-1.3977907985774038,-1.3777907985774078,df_Perkins.xlsx,52.33,df_Perkins.xlsx,7,0,0,3,20.66666667,16,8.25
Allt Aom,6660.433179744,9.148950395482515,831,439,-1.3569415556916247,-1.3629415556916271,-1.3509415556916267,df_Perkins.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beagh's Burn,1095.423641552,35.65036225738707,170,440,-1.2895630172550219,-1.3015630172550203,-1.2775630172550194,df_Perkins.xlsx,55.1,df_Perkins.xlsx,7,0,0,1.6,10.75908871,5.159088612,8.35
Broadstone Stream,4211.675658432,8.772954170764983,578,441,-1.2881366619257306,-1.2951366619257314,-1.2811366619257356,df_Perkins.xlsx,51.08,df_Perkins.xlsx,7,0,0,0,25.5,19,10.15
Duddon Pike Beck,7032.973811968,31.628972657993025,1158,442,-1.2965441217131646,-1.300544121713159,-1.2925441217131635,df_Perkins.xlsx,54.41,df_Perkins.xlsx,4.2,0,0.4,1,16.2,12.6,8.05
Hardknott Gill,4158.491516608,12.918053217935064,583,443,-1.2582804249712936,-1.2642804249712967,-1.2522804249712962,df_Perkins.xlsx,54.4,df_Perkins.xlsx,7,0,0,1,20.2,14.2,8.55
Mill Stream,23614.111738266667,19.498172745377367,1863,444,-1.2135812679860793,-1.2165812679860792,-1.210581267986079,df_Perkins.xlsx,50.68,df_Perkins.xlsx,7,0,0,1,34.02814102,27.36147563,11.15
Nant Clywedog Uchaf,5839.568026831194,18.84420804521889,870,445,-1.2945021603993812,-1.3015021603993802,-1.2875021603993844,df_Perkins.xlsx,52.15,df_Perkins.xlsx,0,0,2,2,15,15,8.75
Nant Gelli Gethin,6703.572022892858,13.78880194089207,1226,446,-1.2429585606643325,-1.2479585606643298,-1.2379585606643317,df_Perkins.xlsx,52.65,df_Perkins.xlsx,4.2,0,1.2,3,16.8,14.4,8.55
Nant Pen y Cwm,3758.3888864253845,26.688334580321285,467,447,-1.2087756549534892,-1.2167756549534872,-1.200775654953489,df_Perkins.xlsx,52.64,df_Perkins.xlsx,2.8,0,1.8,3,15.2,13.6,8.35
Narrator Brook,5249.62708448,31.441005807691116,343,448,-1.2188527273582421,-1.2258527273582374,-1.2118527273582416,df_Perkins.xlsx,50.5,df_Perkins.xlsx,7,0,0,1,21,14,9.85
Old Lodge,2389.343260224,18.897537944301895,254,449,-1.3957584802112326,-1.4087584802112332,-1.382758480211237,df_Perkins.xlsx,51.04,df_Perkins.xlsx,7,0,0,1,27,20,10.05
River Bure,20926.7524469378,60.453151767398495,1012,450,-1.2823681766306936,-1.284368176630693,-1.280368176630688,df_Perkins.xlsx,52.82,df_Perkins.xlsx,7,5.833333333,0,0,24.16673883,21.33340549,10.05
River Fiddich,5480.179875040639,16.89135279832276,1189,451,-1.325621325259763,-1.3296213252597582,-1.3216213252597626,df_Perkins.xlsx,57.44,df_Perkins.xlsx,7,0,0,2,20.43929253,12.23929253,8.25
River Loddon,107901.02879036688,63.396716021193605,4666,452,-1.2733691939116825,-1.2743691939116815,-1.2723691939116861,df_Perkins.xlsx,51.29,df_Perkins.xlsx,0,0,0,0,32.8,32,10.35
River Lyde,79221.07553626476,39.73693346615952,4134,453,-1.2545012105071738,-1.2555012105071697,-1.2535012105071743,df_Perkins.xlsx,51.29,df_Perkins.xlsx,0,0,0,0,33.2,33.2,10.35
River Test,40886.89730843586,43.258678917426,2606,454,-1.2932878592011579,-1.2942878592011553,-1.29228785920116,df_Perkins.xlsx,51.14,df_Perkins.xlsx,7,2.8,0,0,25.2,20.4,10.45
River Wensum,70581.80739307018,50.260655915799425,5718,455,-1.4057502157857173,-1.4067502157857135,-1.4047502157857181,df_Perkins.xlsx,52.78,df_Perkins.xlsx,7,4.2,0,0,23.8,20.8,10.05
Tadnoll Brook,4739.669963661505,1.0487680701045177,9044,456,-1.3224712547145399,-1.3304712547145385,-1.3144712547145403,df_Perkins.xlsx,50.68,df_Perkins.xlsx,7,0,0,0,27.07148933,17.57148933,11.05
Upper Duhonw,10945.213000961861,32.744034654523944,1161,457,-1.2226357275160364,-1.2286357275160356,-1.216635727516035,df_Perkins.xlsx,52.13,df_Perkins.xlsx,5.6,0,0,3,26.8,18.6,9.05
Upper Llugwy,1927.4200125500001,17.75806139120573,646,458,-1.4111749451887714,-1.421174945188767,-1.401174945188771,df_Perkins.xlsx,53.11,df_Perkins.xlsx,0,0,1,1,12.14566498,12.14566498,8.75
